,Distinction,Name,Location,Price,Cuisine
0,1 Star,Sushi Masuda,"Vancouver, Canada",$$$$,Japanese
1,1 Star,Okeya Kyujiro,"Vancouver, Canada",$$$$,Japanese
2,1 Star,Barbara,"Vancouver, Canada",$$$$,Contemporary
3,1 Star,iDen & QuanJuDe Beijing Duck House,"Vancouver, Canada",$$$$,Chinese
4,1 Star,St. Lawrence,"Vancouver, Canada",$$$$,French
5,1 Star,AnnaLena,"Vancouver, Canada",$$$$,Contemporary
6,1 Star,Published on Main,"Vancouver, Canada",$$$,Contemporary
7,1 Star,Kissa Tanto,"Vancouver, Canada",$$$$,Fusion
8,1 Star,Burdock & Co,"Vancouver, Canada",$$$$,Contemporary
9,1 Star,Masayoshi,"Vancouver, Canada",$$$$,Japanese
10,1 Star,Restaurant Pearl Morissette,"Lincoln, Canada",$$$$,Contemporary
11,1 Star,Don Alfonso 1890,"Toronto, Canada",$$$$,Italian
12,1 Star,Quetzal,"Toronto, Canada",$$$$,Mexican
13,1 Star,Hexagon,"Oakville, Canada",$$$,Contemporary
14,1 Star,Kaiseki Yu-zen Hashimoto,"North York, Canada",$$$$,Japanese
15,1 Star,Kappo Sato,"Toronto, Canada",$$$$,Japanese
16,1 Star,Edulis,"Toronto, Canada",$$$$,Mediterranean Cuisine
17,1 Star,Osteria Giulia,"Toronto, Canada",$$$$,Italian
18,1 Star,Enigma Yorkville,"Toronto, Canada",$$$$,Contemporary
19,1 Star,DaNico,"Toronto, Canada",$$$$,Italian
20,1 Star,The Pine,"Creemore, Canada",$$$$,Chinese
21,1 Star,Alo,"Toronto, Canada",$$$$,Contemporary
22,1 Star,Shoushin,"Toronto, Canada",$$$$,Japanese
23,1 Star,Aburi Hana,"Toronto, Canada",$$$$,Japanese
24,1 Star,Alma Fonda Fina,"Denver, USA",$$,Mexican
25,1 Star,Brutø,"Denver, USA",$$$$,Mexican
26,1 Star,Bosq,"Aspen, USA",$$$$,Contemporary
27,1 Star,Beckon,"Denver, USA",$$$$,Contemporary
28,1 Star,Frasca Food and Wine,"Boulder, USA",$$$$,Italian
29,1 Star,The Wolf's Tailor,"Denver, USA",$$$$,Contemporary
30,1 Star,Fang Xiang Jing,"Chengdu, China Mainland",¥¥¥,Sichuan
31,1 Star,Hokkien Cuisine,"Chengdu, China Mainland",¥¥¥,Fujian
32,1 Star,Silver Pot,"Chengdu, China Mainland",¥¥¥,Sichuan
33,1 Star,S Kitchen,"Chengdu, China Mainland",¥¥¥,French Contemporary
34,1 Star,The Hall,"Chengdu, China Mainland",¥¥¥¥,European Contemporary
35,1 Star,Mi Xun Teahouse,"Chengdu, China Mainland",¥¥,Vegetarian
36,1 Star,Fu Rong Huang,"Chengdu, China Mainland",¥¥,Sichuan
37,1 Star,Chaimen Hui,"Chengdu, China Mainland",¥¥¥¥,Sichuan
38,1 Star,Young Art · Yong Ya He Xian (Tongzilin East Road),"Chengdu, China Mainland",¥¥¥,Sichuan
39,1 Star,Xu's Cuisine,"Chengdu, China Mainland",¥¥¥,Sichuan
40,1 Star,Ma's Kitchen,"Chengdu, China Mainland",¥¥,Sichuan
41,1 Star,ZEA,"Taipei, Taiwan",$$$$,Latin American
42,1 Star,Paris 1930 de Hideki Takayama,"Taipei, Taiwan",$$$$,French Contemporary
43,1 Star,de nuit,"Taipei, Taiwan",$$$$,French Contemporary
44,1 Star,Circum-,"Taipei, Taiwan",$$$,Creative
45,1 Star,T+T,"Taipei, Taiwan",$$$,Asian Contemporary
46,1 Star,The Guest House,"Taipei, Taiwan",$$$,Huaiyang
47,1 Star,Fujin Tree Taiwanese Cuisine & Champagne (Songshan),"Taipei, Taiwan",$$,Taiwanese
48,1 Star,MINIMAL,"Taichung, Taiwan",$$,Modern Cuisine
49,1 Star,Sushiyoshi,"Taipei, Taiwan",$$$$,Japanese
50,1 Star,GEN,"Kaohsiung, Taiwan",$$$$,Cantonese
51,1 Star,Fleur de Sel,"Taichung, Taiwan",$$$$,French Contemporary
52,1 Star,Sushi Akira,"Taipei, Taiwan",$$$$,Sushi
53,1 Star,Haili,"Kaohsiung, Taiwan",$$$,Modern Cuisine
54,1 Star,La Maison de Win,"Taichung, Taiwan",$$$,Taiwanese contemporary
55,1 Star,Tien Hsiang Lo,"Taipei, Taiwan",$$$,Hang Zhou
56,1 Star,Sens,"Taipei, Taiwan",$$$$,French Contemporary
57,1 Star,Sho,"Kaohsiung, Taiwan",$$$$,Japanese
58,1 Star,Ya Ge,"Taipei, Taiwan",$$$$,Cantonese
59,1 Star,Sushi Ryu,"Taipei, Taiwan",$$$$,Sushi
60,1 Star,Ming Fu,"Taipei, Taiwan",$$$,Taiwanese
61,1 Star,Ken Anhe,"Taipei, Taiwan",$$$$,Japanese
62,1 Star,Forchetta,"Taichung, Taiwan",$$$,European Contemporary
63,1 Star,INITA,"Taipei, Taiwan",$$$$,Italian Contemporary
64,1 Star,Ad Astra,"Taipei, Taiwan",$$$$,European Contemporary
65,1 Star,L'Atelier par Yao,"Taichung, Taiwan",$$$,French Contemporary
66,1 Star,Oretachi No Nikuya,"Taichung, Taiwan",$$$,Barbecue
67,1 Star,A,"Taipei, Taiwan",$$$$,French Contemporary
68,1 Star,YUENJI,"Taichung, Taiwan",$$$,Taiwanese
69,1 Star,Eika,"Taipei, Taiwan",$$$$,Japanese Contemporary
70,1 Star,NOBUO,"Taipei, Taiwan",$$$$,Contemporary
71,1 Star,Wok by O'BOND,"Taipei, Taiwan",$$$,Creative
72,1 Star,Mountain and Sea House,"Taipei, Taiwan",$$$,Taiwanese
73,1 Star,Sur-,"Taichung, Taiwan",$$$,Taiwanese contemporary
74,1 Star,Impromptu by Paul Lee,"Taipei, Taiwan",$$$,Innovative
75,1 Star,Yu Kapo,"Taipei, Taiwan",$$$$,Japanese
76,1 Star,Golden Formosa,"Taipei, Taiwan",$$,Taiwanese
77,1 Star,A Cut,"Taipei, Taiwan",$$$$,Steakhouse
78,1 Star,Mipon,"Taipei, Taiwan",$$$,Taiwanese
79,1 Star,Kitcho,"Taipei, Taiwan",$$$$,Sushi
80,1 Star,Ban Bo,"Taipei, Taiwan",$$$,Taiwanese contemporary
81,1 Star,Shin Yeh Taiwanese Signature,"Taipei, Taiwan",$$,Taiwanese
82,1 Star,Nari,"San Francisco, USA",$$$,Thai
83,1 Star,Uka,"Los Angeles, USA",$$$$,Japanese Contemporary
84,1 Star,Gwen,"Los Angeles, USA",$$$$,Steakhouse
85,1 Star,Shibumi,"Los Angeles, USA",$$$$,Japanese
86,1 Star,Kali,"Hollywood, USA",$$$$,Californian
87,1 Star,Shin Sushi,"Encino, USA",$$$$,Japanese
88,1 Star,The Progress,"San Francisco, USA",$$$,Californian
89,1 Star,Bell's,"Los Alamos, USA",$$,French
90,1 Star,Knife Pleat,"Costa Mesa, USA",$$$$,Contemporary
91,1 Star,Hana re,"Costa Mesa, USA",$$$$,Japanese
92,1 Star,Wakuriya,"San Mateo, USA",$$$$,Japanese
93,1 Star,R|O-Rebel Omakase,"Laguna Beach, USA",$$$$,Japanese
94,1 Star,Osteria Mozza,"Los Angeles, USA",$$$$,Italian
95,1 Star,Sushi Inaba,"Torrance, USA",$$$$,Japanese
96,1 Star,Chez Noir,"Carmel-by-the-Sea, USA",$$$$,Contemporary
97,1 Star,The Shota,"San Francisco, USA",$$$$,Japanese
98,1 Star,Meteora,"Los Angeles, USA",$$$$,Creative
99,1 Star,Kenzo,"Napa, USA",$$$$,Japanese
100,1 Star,Hilda and Jesse,"San Francisco, USA",$$$,American
101,1 Star,State Bird Provisions,"San Francisco, USA",$$$,Californian
102,1 Star,Ssal,"San Francisco, USA",$$$$,Korean
103,1 Star,n/naka,"Los Angeles, USA",$$$$,Japanese
104,1 Star,Sorrel,"San Francisco, USA",$$$$,Contemporary
105,1 Star,Orsa & Winston,"Los Angeles, USA",$$$$,Contemporary
106,1 Star,Six Test Kitchen,"Paso Robles, USA",$$$$,Contemporary
107,1 Star,Citrin,"Santa Monica, USA",$$$$,Californian
108,1 Star,Sushi Ginza Onodera,"West Hollywood, USA",$$$$,Japanese
109,1 Star,Le Comptoir at Bar Crenn,"San Francisco, USA",$$$$,Contemporary
110,1 Star,Nozawa Bar,"Beverly Hills, USA",$$$$,Japanese
111,1 Star,Mister Jiu’s,"San Francisco, USA",$$$,Chinese
112,1 Star,Protégé,"Palo Alto, USA",$$$$,Contemporary
113,1 Star,Pasta|Bar,"Encino, USA",$$$$,Contemporary
114,1 Star,Holbox,"Los Angeles, USA",$$,Mexican
115,1 Star,Kato,"Los Angeles, USA",$$$$,Asian
116,1 Star,Niku Steakhouse,"San Francisco, USA",$$$$,Steakhouse
117,1 Star,Caruso's,"Montecito, USA",$$$$,Californian
118,1 Star,Camphor,"Los Angeles, USA",$$$$,French
119,1 Star,Heritage,"Long Beach, USA",$$$$,Californian
120,1 Star,O' by Claude Le Tohic,"San Francisco, USA",$$$$,French
121,1 Star,Jeune et Jolie,"Carlsbad, USA",$$$$,French
122,1 Star,Soichi,"San Diego, USA",$$$$,Japanese
123,1 Star,Auberge du Soleil,"Rutherford, USA",$$$$,Californian
124,1 Star,Plumed Horse,"Saratoga, USA",$$$$,Contemporary
125,1 Star,The Village Pub,"Woodside, USA",$$$,Contemporary
126,1 Star,Chez TJ,"Mountain View, USA",$$$$,Contemporary
127,1 Star,Sushi Kaneyoshi,"Los Angeles, USA",$$$$,Japanese
128,1 Star,Morihiro,"Los Angeles, USA",$$$$,Japanese
129,1 Star,Valle,"Oceanside, USA",$$$$,Mexican
130,1 Star,Kiln,"San Francisco, USA",$$$$,Contemporary
131,1 Star,Madcap,"San Anselmo, USA",$$$$,Contemporary
132,1 Star,Localis,"Sacramento, USA",$$$$,Californian
133,1 Star,The Kitchen,"Sacramento, USA",$$$$,Contemporary
134,1 Star,Selby's,"Atherton, USA",$$$$,American
135,1 Star,Kin Khao,"San Francisco, USA",$$$,Thai
136,1 Star,Angler SF,"San Francisco, USA",$$$$,Contemporary
137,1 Star,Aphotic,"San Francisco, USA",$$$$,Seafood
138,1 Star,Osito,"San Francisco, USA",$$$$,Contemporary
139,1 Star,Auro,"Calistoga, USA",$$$$,Contemporary
140,1 Star,Gucci Osteria da Massimo Bottura,"Beverly Hills, USA",$$$$,Italian
141,1 Star,7 Adams,"San Francisco, USA",$$$$,Californian
142,1 Star,San Ho Won,"San Francisco, USA",$$$,Korean
143,1 Star,Cyrus,"Geyserville, USA",$$$$,Californian
144,1 Star,The Restaurant at JUSTIN,"Paso Robles, USA",$$$$,Californian
145,1 Star,Nisei,"San Francisco, USA",$$$$,Japanese
146,1 Star,Press,"Saint Helena, USA",$$$$,Modern Cuisine
147,1 Star,715,"Los Angeles, USA",$$$$,Japanese
148,1 Star,La Dame de Pic Dubai,Dubai,$$$$,Modern French
149,1 Star,Al Muntaha,Dubai,$$$$,French
150,1 Star,Dinner by Heston Blumenthal,Dubai,$$$$,Traditional British
151,1 Star,Tasca by José Avillez,Dubai,$$$,Portuguese
152,1 Star,moonrise,Dubai,$$$$,Creative
153,1 Star,Hōseki,Dubai,$$$$,Japanese
154,1 Star,Torno Subito,Dubai,$$$,Italian
155,1 Star,Hakkasan,Dubai,$$$$,Chinese
156,1 Star,Orfali Bros,Dubai,$$,Contemporary
157,1 Star,Ossiano,Dubai,$$$$,Creative
158,1 Star,avatāra,Dubai,$$$$,Indian Vegetarian
159,1 Star,11 Woodfire,Dubai,$$,Modern Cuisine
160,1 Star,Sagetsu by Tetsuya,Dubai,$$$$,Japanese Contemporary
161,1 Star,Smoked Room,Dubai,$$$$,Contemporary
162,1 Star,Armani Ristorante,Dubai,$$$$,Italian
163,1 Star,Akuna,"Ho Chi Minh City, Vietnam",₫₫₫₫,Innovative
164,1 Star,Long Trieu,"Ho Chi Minh City, Vietnam",₫₫₫₫,Cantonese
165,1 Star,Gia,"Hanoi, Vietnam",₫₫₫₫,Vietnamese Contemporary
166,1 Star,Hibana by Koki,"Hanoi, Vietnam",₫₫₫₫,Teppanyaki
167,1 Star,Tầm Vị,"Hanoi, Vietnam",₫₫,Vietnamese
168,1 Star,La Maison 1888,"Da Nang, Vietnam",₫₫₫₫,French Contemporary
169,1 Star,Ănăn Saigon,"Ho Chi Minh City, Vietnam",₫₫,Vietnamese Contemporary
170,1 Star,Boškinac,"Novalja, Croatia",€€€€,Creative
171,1 Star,Nebo by Deni Srdoč,"Rijeka, Croatia",€€€€,Modern Cuisine
172,1 Star,Noel,"Zagreb, Croatia",€€€€,Modern Cuisine
173,1 Star,Pelegrini,"Sibenik, Croatia",€€€€,Modern Cuisine
174,1 Star,Alfred Keller,"Mali Lošinj, Croatia",€€€,Modern Cuisine
175,1 Star,Restaurant 360,"Dubrovnik, Croatia",€€€€,Modern Cuisine
176,1 Star,Monte,"Rovinj, Croatia",€€€€,Creative
177,1 Star,Dubravkin Put,"Zagreb, Croatia",€€€,Mediterranean Cuisine
178,1 Star,LD Restaurant,"Korcula, Croatia",€€€€,Modern Cuisine
179,1 Star,Korak,"Jastrebarsko, Croatia",€€€€,Contemporary
180,1 Star,Art di Daniele Sperindio,Singapore,$$$,Italian
181,1 Star,Iggy's,Singapore,$$$,European Contemporary
182,1 Star,Alma,Singapore,$$$,European Contemporary
183,1 Star,Oshino,Singapore,$$$$,Sushi
184,1 Star,Labyrinth,Singapore,$$$,Innovative
185,1 Star,Seroja,Singapore,$$$,Malaysian
186,1 Star,Summer Palace,Singapore,$$$,Cantonese
187,1 Star,Marguerite,Singapore,$$$,European Contemporary
188,1 Star,Imperial Treasure Fine Teochew Cuisine (Orchard),Singapore,$$,Teochew
189,1 Star,Nae:um,Singapore,$$$,Korean Contemporary
190,1 Star,Esora,Singapore,$$$$,Innovative
191,1 Star,Born,Singapore,$$$$,Innovative
192,1 Star,Poise,Singapore,$$$,European Contemporary
193,1 Star,Sommer,Singapore,$$$,European Contemporary
194,1 Star,Araya,Singapore,$$$$,Innovative
195,1 Star,Hill Street Tai Hwa Pork Noodle,Singapore,$,Street Food
196,1 Star,Lerouy,Singapore,$$$,French Contemporary
197,1 Star,Euphoria,Singapore,$$$,Innovative
198,1 Star,Rhubarb,Singapore,$$,French Contemporary
199,1 Star,Chaleur,Singapore,$$$,Innovative
200,1 Star,Jag,Singapore,$$$,French Contemporary
201,1 Star,Buona Terra,Singapore,$$$,Italian Contemporary
202,1 Star,Whitegrass,Singapore,$$$,French Contemporary
203,1 Star,Sushi Kimura,Singapore,$$$,Sushi
204,1 Star,Shinji (Bras Basah Road),Singapore,$$$$,Sushi
205,1 Star,Ma Cuisine,Singapore,$$$,French
206,1 Star,Chef Kang's,Singapore,$$,Cantonese
207,1 Star,Candlenut,Singapore,$$,Peranakan
208,1 Star,Hamamoto,Singapore,$$$$,Sushi
209,1 Star,Willow,Singapore,$$$,Asian Contemporary
210,1 Star,Pangium,Singapore,$$$,Peranakan
211,1 Star,Nouri,Singapore,$$$$,Innovative
212,1 Star,Terra,Singapore,$$$,Italian Contemporary
213,1 Star,Burnt Ends,Singapore,$$$,Barbecue
214,1 Star,Summer Pavilion,Singapore,$$,Cantonese
215,1 Star,CUT,Singapore,$$$,Steakhouse
216,1 Star,Shisen Hanten,Singapore,$$,Cantonese
217,1 Star,Waku Ghin,Singapore,$$$$,Japanese Contemporary
218,1 Star,Lei Garden,Singapore,$$,Cantonese
219,1 Star,Sushi Ichi,Singapore,$$$$,Sushi
220,1 Star,Matera,Singapore,$$$,Italian Contemporary
221,1 Star,Sushi Sakuta,Singapore,$$$$,Sushi
222,1 Star,Giewont,"Kościelisko, Poland",€€€,Modern Cuisine
223,1 Star,NUTA,"Warsaw, Poland",€€€€,Creative
224,1 Star,Arco by Paco Pérez,"Gdansk, Poland",€€€€,Spanish
225,1 Star,Rozbrat 20,"Warsaw, Poland",€€€,Modern Cuisine
226,1 Star,Muga,"Poznan, Poland",€€€€,Modern Cuisine
227,1 Star,Grič,"Šentjošt nad Horjulom, Slovenia",€€€€,Farm to table
228,1 Star,Hiša Linhart,"Radovljica, Slovenia",€€€,Contemporary
229,1 Star,Dam,"Nova Gorica, Slovenia",€€€,Modern Cuisine
230,1 Star,Gostilna Pri Lojzetu,"Vipava, Slovenia",€€€€,Modern Cuisine
231,1 Star,COB,"Portorož, Slovenia",€€€€,Creative
232,1 Star,Restavracija Strelec,"Ljubljana, Slovenia",€€€,Modern Cuisine
233,1 Star,Hiša Denk,"Zgornja Kungota, Slovenia",€€€€,Creative
234,1 Star,Pavus,"Lasko, Slovenia",€€€,Modern Cuisine
235,1 Star,Džiaugsmas,"Vilnius, Lithuania",$$,Modern Cuisine
236,1 Star,Nineteen18,"Vilnius, Lithuania",$$$,Modern Cuisine
237,1 Star,Pas mus,"Vilnius, Lithuania",$$$,Modern Cuisine
238,1 Star,Demo,"Vilnius, Lithuania",$$$,Innovative
239,1 Star,Suyab Courtyard・Pickmoon Gourmet,"Guangzhou, China Mainland",¥¥¥¥,Chao Zhou
240,1 Star,Stiller,"Guangzhou, China Mainland",¥¥¥,European
241,1 Star,Lai Heen,"Guangzhou, China Mainland",¥¥¥,Cantonese
242,1 Star,Yu Yue Heen,"Guangzhou, China Mainland",¥¥¥¥,Cantonese
243,1 Star,Rêver,"Guangzhou, China Mainland",¥¥¥¥,French Contemporary
244,1 Star,BingSheng Private Kitchen (Tianhe East Road),"Guangzhou, China Mainland",¥¥¥,Cantonese
245,1 Star,Xin Ji,"Guangzhou, China Mainland",¥¥,Cantonese
246,1 Star,Jade River,"Guangzhou, China Mainland",¥¥¥,Cantonese
247,1 Star,BingSheng Mansion (Xiancun Road),"Guangzhou, China Mainland",¥¥¥,Cantonese
248,1 Star,Lingnan House,"Guangzhou, China Mainland",¥¥¥,Cantonese
249,1 Star,Hongtu Hall,"Guangzhou, China Mainland",¥¥,Dim Sum
250,1 Star,Imperial Treasure Fine Teochew Cuisine,"Guangzhou, China Mainland",¥¥¥,Chao Zhou
251,1 Star,Lei Garden (Yuexiu),"Guangzhou, China Mainland",¥¥,Cantonese
252,1 Star,Song,"Guangzhou, China Mainland",¥¥,Sichuan
253,1 Star,Wisca (Haizhu),"Guangzhou, China Mainland",¥¥,Cantonese
254,1 Star,Yu Garden,"Guangzhou, China Mainland",¥¥,Fujian
255,1 Star,Yong,"Guangzhou, China Mainland",¥¥¥¥,Sichuan
256,1 Star,Tapio,"Ruka, Finland",€€€€,Modern Cuisine
257,1 Star,Hermetikken,"Stavanger, Norway",€€€,Modern Cuisine
258,1 Star,Restaurant Aure,"Copenhagen, Denmark",€€€€,Creative
259,1 Star,The ROOM by Kozeen Shiwan,"Helsinki, Finland",€€€,Creative
260,1 Star,Frederiksminde,"Præstø, Denmark",€€€€,Modern Cuisine
261,1 Star,Gastromé,"Aarhus, Denmark",€€€€,Modern Cuisine
262,1 Star,Domestic,"Aarhus, Denmark",€€€,Modern Cuisine
263,1 Star,Lysverket,"Bergen, Norway",€€€€,Modern Cuisine
264,1 Star,Seafood Gastro,"Stockholm, Sweden",€€€€,Seafood
265,1 Star,Iris,"Rosendal, Norway",€€€€,Creative
266,1 Star,Moss,"Grindavík, Iceland",€€€€,Modern Cuisine
267,1 Star,Ekstedt,"Stockholm, Sweden",€€€€,Grills
268,1 Star,Project,"Gothenburg, Sweden",€€€,Modern Cuisine
269,1 Star,Koka,"Gothenburg, Sweden",€€€,Modern Cuisine
270,1 Star,Operakällaren,"Stockholm, Sweden",€€€€,Classic Cuisine
271,1 Star,Marchal,"Copenhagen, Denmark",€€€,Modern Cuisine
272,1 Star,ARO,"Odense, Denmark",€€€,Modern Cuisine
273,1 Star,Substans,"Aarhus, Denmark",€€€,Creative
274,1 Star,Ti Trin Ned,"Fredericia, Denmark",€€€,Modern Cuisine
275,1 Star,Stallen,"Oslo, Norway",€€€,Norwegian
276,1 Star,ÄNG,"Tvååker, Sweden",€€€€,Creative
277,1 Star,LYST,"Vejle, Denmark",€€€€,Creative
278,1 Star,Mon Oncle,"Oslo, Norway",€€€,French
279,1 Star,Knystaforsen,"Rydöbruk, Sweden",€€€€,Modern Cuisine
280,1 Star,Syttende,"Sønderborg, Denmark",€€€€,Modern Cuisine
281,1 Star,Sushi Sho,"Stockholm, Sweden",€€€€,Japanese
282,1 Star,Kaskis,"Turku, Finland",€€€€,Modern Cuisine
283,1 Star,À L'aise,"Oslo, Norway",€€€€,Modern Cuisine
284,1 Star,FAGN,"Trondheim, Norway",€€€,Modern Cuisine
285,1 Star,Demo,"Helsinki, Finland",€€€€,Modern Cuisine
286,1 Star,Olo,"Helsinki, Finland",€€€€,Modern Cuisine
287,1 Star,Alouette,"Copenhagen, Denmark",€€€,Modern Cuisine
288,1 Star,Under,"Lindesnes, Norway",€€€€,Modern Cuisine
289,1 Star,DILL,"Reykjavík, Iceland",€€€€,Creative
290,1 Star,Nour,"Stockholm, Sweden",€€€€,Creative
291,1 Star,Bar Amour,"Oslo, Norway",€€€,Creative
292,1 Star,ÓX,"Reykjavík, Iceland",€€€€,Modern Cuisine
293,1 Star,Speilsalen,"Trondheim, Norway",€€€€,Contemporary
294,1 Star,formel B,"Copenhagen, Denmark",€€€,Modern Cuisine
295,1 Star,Tri,"Agger, Denmark",€€€,Creative
